id,read.number,Numeric.Animal.ID,Capture.Week,Capture.Number,age.month.corrected,age.years,Sex,Average.BCS,Season,percent.cells.infected,Tvelifera.sc,TveliferaB,TveliferaUD,Tmutans1,Tmutans2,Tmutans3,TmutansMSD,Tmutans.sc,TmutansUD,TspBg,TspBf,Tparva
102c5,87106,102,10/14/14,5,13,1.08,M,1.75,dry,0.02903071,0.12690285,0.12247148,0,0.13427318,0.07797397,0.19862008,0.05844603,0.16880582,0.05236149,0,0,0.06014511
102c6,79016,102,12/6/15,6,15,1.22,M,2.125,wet,0.271210873,0.296181,0.2107297,0,0.127189,0.0654424,0.1516022,0.0162246,0.0474208,0,0,0,0.0852106
102c7,89916,102,2/23/15,7,18,1.44,M,3,wet,0.251342282,0.142978,0.0887495,0,0.279661,0.1121158,0.3051067,0,0.0534499,0,0,0,0.017939
102c8,67075,102,6/2/14,8,21,1.709130927,M,3.25,dry,0.041296296,0.0579351,0.1595225,0,0.205248,0.0881252,0.241044,0,0.0385986,0,0.166202,0,0.0433246
102c9,61484,102,8/4/15,9,23,1.881733667,M,2.902777778,dry,0.665265152,0.109346,0.1098172,0,0.157049,0.069449,0.2289706,0,0.0319758,0,0.189919,0,0.1034741
102c10,60969,102,10/5/15,10,25,2.054336406,M,3.75,dry,0.008246165,0.146091,0.1196017,0,0.13807,0.0331808,0.2281487,0,0.0197805,0,0.240335,0,0.0747921
102c11,60228,102,12/1/15,11,27,2.207761064,M,3.5,wet,0.018340822,0.112024,0.107475,0,0.169207,0.0511888,0.2329979,0,0.0137146,0,0.184931,0,0.1284614
103c1,92038,103,2/25/14,1,1,0.1,M,2,wet,0.20625,0.0215129,0.563126,0,0,0,0,0.047513,0.367848,0,0,0,0
104c1,104281,104,2/25/14,1,2,0.2,F,3.5,wet,0.052833144,0.0661482,0.452892,0,0,0,0,0.0677688,0.413191,0,0,0,0
104c4,73023,104,8/13/14,4,7,0.59,F,2.75,dry,0.063016529,0.268368,0.3896857,0,0.0407954,0,0,0.0924914,0.110787,0,0.0978733,0,0
104c5,147090,104,10/14/14,5,9,0.77,F,1,dry,0.055638587,0.174825,0.2475285,0,0.172017,0.0256986,0.0659937,0.0421987,0.0695357,0.0130532,0.171059,0,0.018091
105c1,56670,105,2/25/14,1,6,0.5,M,3.25,wet,0.072941843,0.01799886,0.14944824,0,0,0,0,0.11284797,0.6464183,0,0.0157178,0,0.05756882
105c3,126546,105,6/6/14,3,9,0.78,M,3,dry,0.063405292,0.128641,0.250565,0,0.0189022,0.0205459,0,0.103409,0.181317,0,0.101038,0,0.1955814
105c4,91949,105,8/13/14,4,11,0.9,M,2.75,dry,0.168868671,0.283451,0.323277,0,0.0654167,0.0262319,0,0.0526161,0.0584563,0,0.0864827,0,0.1040686
105c5,56095,105,10/14/14,5,13,0.5,M,3.25,wet,NA,0.20189,0.2806845,0,0.114805,0.0198057,0.0533203,0.0400036,0.0790088,0,0,0,0
105c6,70400,105,12/6/15,6,14.52,1.21,M,1.25,wet,0.61042065,0.229432,0.2687788,0,0.0794602,0,0.0341619,0,0.0546875,0.0189915,0.190213,0,0.1242753
106c1,144409,106,2/25/14,1,5,0.4,F,3.75,wet,0.086449095,0.172302,0.275315,0,0,0,0,0.126024,0.426358,0,0,0,0
106c3,93419,106,6/6/14,3,8,0.71,F,3.5,dry,0.063779008,0.386581,0.4031831,0,0.0296514,0.0280671,0.0126099,0.0775539,0.0623535,0,0,0,0
106c4,92465,106,8/13/14,4,10,0.83,F,2.5,dry,0.077014145,0.270243,0.3091226,0,0.125301,0.0547342,0.1026983,0.0622398,0.0756611,0,0,0,0
106c5,102962,106,10/14/14,5,12,1.01,F,2,dry,0.118554131,0.195305,0.1798814,0,0.253424,0.0709291,0.2129329,0.0293021,0.0582254,0,0,0,0
107c1,174255,107,2/25/14,1,12,1,F,3.25,wet,0.075525594,0.13832,0.1831229,0,0.148397,0.141431,0.1362313,0.0952053,0.157292,0,0,0,0
107c3,74526,107,6/6/14,3,15,1.33,F,3.5,dry,0.053713038,0.06065,0.0466012,0,0.252757,0.158388,0.2758767,0.0135389,0.0358801,0,0.156308,0,0
107c4,104721,107,8/13/14,4,17,1.45,F,2.5,dry,0.101504298,0.0839564,0.1243017,0,0.20229,0.108507,0.1650576,0.0378147,0.0734905,0.0186782,0.1859039,0,0
107c5,72603,107,10/14/14,5,19,1.62,F,1.75,dry,0.102035714,0.149388,0.1373363,0,0.235224,0.113659,0.1706679,0,0.0479044,0,0.129499,0,0.0163216
107c6,101646,107,12/6/15,6,21,1.76,F,1.25,wet,0.093864558,0.128574,0.0966393,0,0.214735,0.113807,0.1857525,0.041615,0.0284615,0,0.1672074,0,0.023208
107c7,57246,107,2/23/15,7,24,1.99,F,3.25,wet,0.093864558,0.0698215,0.0923558,0,0.295601,0.0888272,0.2953918,0,0.0265695,0,0.104304,0,0.0271285
107c8,105985,107,6/2/14,8,27,2.254794521,F,3.75,dry,0.021316705,0.0651319,0.1342265,0,0.192848,0.0813983,0.2079445,0.0141907,0.0238713,0,0.1959706,0,0.0844176
107c9,60425,107,8/4/15,9,29,2.42739726,F,3,dry,0.380850755,0.0889036,0.1432519,0,0.225767,0.103384,0.218254,0,0.0298386,0,0.141796,0,0.0488043
107c10,44438,107,10/5/15,10,31,2.6,F,3,dry,0.005920245,0.10302,0.1239477,0,0.119852,0.058576,0.1346595,0,0,0,0.3987801,0,0.0611639
107c11,76316,107,12/1/15,11,33,2.753424658,F,3.75,wet,0.010050111,0.0218565,0.0797998,0,0.178534,0.0959432,0.1928433,0,0,0,0.356072,0,0.0749515
108c1,165715,108,2/25/14,1,7,0.6,M,3.5,wet,NA,0.181915,0.3963429,0,0,0,0,0.1043117,0.317431,0,0.2345228,0,0.0614951
109c1,170961,109,2/25/14,1,5,0.4,F,4,wet,0.027824344,0.0298431,0.40542,0,0,0,0,0.1072232,0.457514,0,0,0,0
